No.    Code    Description
145    0x0091  The directory is not empty.
146    0x0092  The path specified is being used in a substitute.
147    0x0093  Not enough resources are available to process this command.
148    0x0094  The path specified cannot be used at this time.
149    0x0095  An attempt was made to join or substitute a drive for which a directory on the drive is the target of a previous substitute.
150    0x0096  System trace information was not specified in your CONFIG.SYS file, or tracing is disallowed.
151    0x0097  The number of specified semaphore events for DosMuxSemWait is not correct.
152    0x0098  DosMuxSemWait did not execute; too many semaphores are already set.
153    0x0099  The DosMuxSemWait list is not correct.
154    0x009A  The volume label you entered exceeds the label character limit of the target file system.
155    0x009B  Cannot create another thread.
156    0x009C  The recipient process has refused the signal.
157    0x009D  The segment is already discarded and cannot be locked.
158    0x009E  The segment is already unlocked.
159    0x009F  The address for the thread ID is not correct.
160    0x00A0  One or more arguments are not correct.
161    0x00A1  The specified path is invalid.
162    0x00A2  A signal is already pending.
164    0x00A4  No more threads can be created in the system.
167    0x00A7  Unable to lock a region of a file.
170    0x00AA  The requested resource is in use.
171    0x00AB  Device's command support detection is in progress.
173    0x00AD  A lock request was not outstanding for the supplied cancel region.
174    0x00AE  The file system does not support atomic changes to the lock type.
180    0x00B4  The system detected a segment number that was not correct.
183    0x00B7  Cannot create a file when that file already exists.
186    0x00BA  The flag passed is not correct.
187    0x00BB  The specified system semaphore name was not found.
196    0x00C4  The operating system cannot run this application program.
197    0x00C5  The operating system is not presently configured to run this application.
199    0x00C7  The operating system cannot run this application program.
200    0x00C8  The code segment cannot be greater than or equal to 64K.
203    0x00CB  The system could not find the environment option that was entered.
205    0x00CD  No process in the command subtree has a signal handler.
206    0x00CE  The filename or extension is too long.
207    0x00CF  The ring 2 stack is in use.
208    0x00D0  The global filename characters, * or ?, are entered incorrectly or too many global filename characters are specified.
209    0x00D1  The signal being posted is not correct.
210    0x00D2  The signal handler cannot be set.
212    0x00D4  The segment is locked and cannot be reallocated.
214    0x00D6  Too many dynamic-link modules are attached to this program or dynamic-link module.
215    0x00D7  Cannot nest calls to LoadModule.
220    0x00DC  This file is checked out or locked for editing by another user.
221    0x00DD  The file must be checked out before saving changes.
222    0x00DE  The file type being saved or retrieved has been blocked.
223    0x00DF  The file size exceeds the limit allowed and cannot be saved.
224    0x00E0  Access Denied. Before opening files in this location, you must first add the web site to your trusted sites list, browse to the web site, and select the option to login automatically.
225    0x00E1  Operation did not complete successfully because the file contains a virus or potentially unwanted software.
226    0x00E2  This file contains a virus or potentially unwanted software and cannot be opened. Due to the nature of this virus or potentially unwanted software, the file has been removed from this location.
229    0x00E5  The pipe is local.
230    0x00E6  The pipe state is invalid.
231    0x00E7  All pipe instances are busy.
232    0x00E8  The pipe is being closed.
233    0x00E9  No process is on the other end of the pipe.
234    0x00EA  More data is available.
235    0x00EB  The action requested resulted in no work being done. Error-style clean-up has been performed.
240    0x00F0  The session was canceled.
254    0x00FE  The specified extended attribute name was invalid.
255    0x00FF  The extended attributes are inconsistent.
258    0x0102  The wait operation timed out.
259    0x0103  No more data is available.
266    0x010A  The copy functions cannot be used.
267    0x010B  The directory name is invalid.
275    0x0113  The extended attributes did not fit in the buffer.
276    0x0114  The extended attribute file on the mounted file system is corrupt.
277    0x0115  The extended attribute table file is full.
278    0x0116  The specified extended attribute handle is invalid.
282    0x011A  The mounted file system does not support extended attributes.
288    0x0120  Attempt to release mutex not owned by caller.
298    0x012A  Too many posts were made to a semaphore.
299    0x012B  Only part of a ReadProcessMemory or WriteProcessMemory request was completed.
300    0x012C  The oplock request is denied.
301    0x012D  An invalid oplock acknowledgment was received by the system.
302    0x012E  The volume is too fragmented to complete this operation.
303    0x012F  The file cannot be opened because it is in the process of being deleted.
304    0x0130  Short name settings may not be changed on this volume due to the global registry setting.
305    0x0131  Short names are not enabled on this volume.
306    0x0132  The security stream for the given volume is in an inconsistent state.  Please run CHKDSK on the volume.
307    0x0133  A requested file lock operation cannot be processed due to an invalid byte range.
308    0x0134  The subsystem needed to support the image type is not present.
309    0x0135  The specified file already has a notification GUID associated with it.
310    0x0136  An invalid exception handler routine has been detected.
311    0x0137  Duplicate privileges were specified for the token.
312    0x0138  No ranges for the specified operation were able to be processed.
313    0x0139  Operation is not allowed on a file system internal file.
314    0x013A  The physical resources of this disk have been exhausted.
315    0x013B  The token representing the data is invalid.
316    0x013C  The device does not support the command feature.
318    0x013E  The scope specified was not found.
319    0x013F  The Central Access Policy specified is not defined on the target machine.
320    0x0140  The Central Access Policy obtained from Active Directory is invalid.
321    0x0141  The device is unreachable.
322    0x0142  The target device has insufficient resources to complete the operation.
323    0x0143  A data integrity checksum error occurred. Data in the file stream is corrupt.
324    0x0144  An attempt was made to modify both a KERNEL and normal Extended Attribute (EA) in the same operation.
326    0x0146  Device does not support file-level TRIM.
327    0x0147  The command specified a data offset that does not align to the device's granularity/alignment.
328    0x0148  The command specified an invalid field in its parameter list.
329    0x0149  An operation is currently in progress with the device.
330    0x014A  An attempt was made to send down the command via an invalid path to the target device.
331    0x014B  The command specified a number of descriptors that exceeded the maximum supported by the device.
332    0x014C  Scrub is disabled on the specified file.
333    0x014D  The storage device does not provide redundancy.
334    0x014E  An operation is not supported on a resident file.
335    0x014F  An operation is not supported on a compressed file.
336    0x0150  An operation is not supported on a directory.
337    0x0151  The specified copy of the requested data could not be read.
338    0x0152  The specified data could not be written to any of the copies.
339    0x0153  One or more copies of data on this device may be out of sync. No writes may be performed until a data integrity scan is completed.
340    0x0154  The supplied kernel information version is invalid.
341    0x0155  The supplied PEP information version is invalid.
342    0x0156  This object is not externally backed by any provider.
343    0x0157  The external backing provider is not recognized.
344    0x0158  Compressing this object would not save space.
345    0x0159  The request failed due to a storage topology ID mismatch.
346    0x015A  The operation was blocked by parental controls.
347    0x015B  A file system block being referenced has already reached the maximum reference count and can't be referenced any further.
348    0x015C  The requested operation failed because the file stream is marked to disallow writes.
349    0x015D  The requested operation failed with an architecture-specific failure code.
350    0x015E  No action was taken as a system reboot is required.
351    0x015F  The shutdown operation failed.
352    0x0160  The restart operation failed.
353    0x0161  The maximum number of sessions has been reached.
354    0x0162  Windows Information Protection policy does not allow access to this network resource.
355    0x0163  The device hint name buffer is too small to receive the remaining name.
356    0x0164  The requested operation was blocked by Windows Information Protection policy. For more information, contact your system administrator.
357    0x0165  The requested operation cannot be performed because hardware or software configuration of the device does not comply with Windows Information Protection under Lock policy. Please, verify that user PIN has been created. For more information, contact your system administrator.
358    0x0166  The cloud sync root metadata is corrupted.
359    0x0167  The device is in maintenance mode.
360    0x0168  This operation is not supported on a DAX volume.
361    0x0169  The volume has active DAX mappings.
362    0x016A  The cloud file provider is not running.
363    0x016B  The cloud file metadata is corrupt and unreadable.
364    0x016C  The cloud file metadata is too large.
365    0x016D  The cloud file property is too large.
366    0x016E  The cloud file property is possibly corrupt. The on-disk checksum does not match the computed checksum.
367    0x016F  The process creation has been blocked.
368    0x0170  The storage device has lost data or persistence.
369    0x0171  The provider that supports file system virtualization is temporarily unavailable.
370    0x0172  The metadata for file system virtualization is corrupt and unreadable.
371    0x0173  The provider that supports file system virtualization is too busy to complete this operation.
372    0x0174  The provider that supports file system virtualization is unknown.
373    0x0175  GDI handles were potentially leaked by the application.
374    0x0176  The maximum number of cloud file properties has been reached.
375    0x0177  The version of the cloud file property store is not supported.
376    0x0178  The file is not a cloud file.
377    0x0179  The file is not in sync with the cloud.
378    0x017A  The cloud sync root is already connected with another cloud sync provider.
379    0x017B  The operation is not supported by the cloud sync provider.
380    0x017C  The cloud operation is invalid.
381    0x017D  The cloud operation is not supported on a read-only volume.
382    0x017E  The operation is reserved for a connected cloud sync provider.
383    0x017F  The cloud sync provider failed to validate the downloaded data.
384    0x0180  You can't connect to the file share because it's not secure. This share requires the obsolete SMB1 protocol, which is unsafe and could expose your system to attack.  Your system requires SMB2 or higher. For more info on resolving this issue, see: https://go.microsoft.com/fwlink/?linkid=852747
385    0x0181  The virtualization operation is not allowed on the file in its current state.
386    0x0182  The cloud sync provider failed user authentication.
387    0x0183  The cloud sync provider failed to perform the operation due to low system resources.
388    0x0184  The cloud sync provider failed to perform the operation due to network being unavailable.
389    0x0185  The cloud operation was unsuccessful.
390    0x0186  The operation is only supported on files under a cloud sync root.
391    0x0187  The operation cannot be performed on cloud files in use.
392    0x0188  The operation cannot be performed on pinned cloud files.
393    0x0189  The cloud operation was aborted.
394    0x018A  The cloud file's property store is corrupt.
395    0x018B  Access to the cloud file is denied.
396    0x018C  The cloud operation cannot be performed on a file with incompatible hardlinks.
397    0x018D  The operation failed due to a conflicting cloud file property lock.
398    0x018E  The cloud operation was canceled by user.
399    0x018F  An externally encrypted syskey has been configured, but the system no longer supports this feature.  Please see https://go.microsoft.com/fwlink/?linkid=851152 for more information.
400    0x0190  The thread is already in background processing mode.
401    0x0191  The thread is not in background processing mode.
402    0x0192  The process is already in background processing mode.
403    0x0193  The process is not in background processing mode.
404    0x0194  The cloud file provider exited unexpectedly.
405    0x0195  The file is not a cloud sync root.
406    0x0196  The read or write operation to an encrypted file could not be completed because the file can only be accessed when the device is unlocked.
407    0x0197  The volume is not cluster aligned on the disk.
408    0x0198  No physically aligned free space was found on the volume.
409    0x0199  The APPX file can not be accessed because it is not encrypted as expected.
410    0x019A  A read or write of raw encrypted data cannot be performed because the file is not encrypted.
411    0x019B  An invalid file offset in the encrypted data info block was passed for read or write operation of file's raw encrypted data.
412    0x019C  An invalid offset and length combination in the encrypted data info block was passed for read or write operation of file's raw encrypted data.
413    0x019D  An invalid parameter in the encrypted data info block was passed for read or write operation of file's raw encrypted data.
414    0x019E  The Windows Subsystem for Linux has not been enabled.
415    0x019F  The specified data could not be read from any of the copies.
416    0x01A0  The specified storage reserve ID is invalid.
417    0x01A1  The specified storage reserve does not exist.
418    0x01A2  The specified storage reserve already exists.
419    0x01A3  The specified storage reserve is not empty.
420    0x01A4  This operation requires a DAX volume.
421    0x01A5  This stream is not DAX mappable.
422    0x01A6  Operation cannot be performed on a time critical thread.
423    0x01A7  User data protection is not supported for the current or provided user.
424    0x01A8  This directory contains entries whose names differ only in case.
425    0x01A9  The file cannot be safely opened because it is not supported by this version of Windows.
426    0x01AA  The cloud operation was not completed before the time-out period expired.
427    0x01AB  A task queue is required for this operation but none is available.
428    0x01AC  Failed loading a valid version of srcsrv.dll.
429    0x01AD  This operation is not supported with BTT enabled.
430    0x01AE  This operation cannot be performed because encryption is currently disabled.
431    0x01AF  This encryption operation cannot be performed on filesystem metadata.
432    0x01B0  Encryption cannot be cleared on this file/directory because it still has an encrypted attribute.
433    0x01B1  A device which does not exist was specified.
434    0x01B2  Dehydration of the cloud file is disallowed by the cloud sync provider.
435    0x01B3  A file snapshot operation was attempted when one is already in progress.
436    0x01B4  A snapshot of the file cannot be taken because a user-mapped section is present.
437    0x01B5  The file snapshot operation was terminated because one of the files was modified in a way incompatible with a snapshot operation.  Please try again.
438    0x01B6  An I/O request could not be coordinated with a file snapshot operation.
439    0x01B7  An unexpected error occurred while processing a file snapshot operation.
440    0x01B8  A file snapshot operation received an invalid parameter.
441    0x01B9  The operation could not be completed due to one or more unsatisfied dependencies.
442    0x01BA  The file cannot be opened because the path has a case-sensitive directory.
443    0x01BB  The filesystem couldn't handle one of the CacheManager's callback error codes.
444    0x01BC  WSL 2 requires an update to its kernel component. For information please visit https://aka.ms/wsl2kernel
445    0x01BD  This action is blocked, but you can choose to allow it. Please refer to the data loss prevention notification for further information.
446    0x01BE  This action is blocked. Please refer to the data loss prevention notification for further information.
449    0x01C1  This action is blocked. Please refer to the data loss prevention notification for further information.
450    0x01C2  Neither developer unlocked mode nor side loading mode is enabled on the device.
451    0x01C3  Can not change application type during upgrade or re-provision.
452    0x01C4  The application has not been provisioned.
453    0x01C5  The requested capability can not be authorized for this application.
454    0x01C6  There is no capability authorization policy on the device.
455    0x01C7  The capability authorization database has been corrupted.
456    0x01C8  The custom capability's SCCD has an invalid catalog.
457    0x01C9  None of the authorized entity elements in the SCCD matched the app being installed; either the PFNs don't match, or the element's signature hash doesn't validate.
458    0x01CA  The custom capability's SCCD failed to parse.
459    0x01CB  The custom capability's SCCD requires developer mode.
460    0x01CC  There not all declared custom capabilities are found in the SCCD.
470    0x01D6  The CimFS image is corrupt.
475    0x01DB  The cloud provider failed to acknowledge a message before the time-out expired.
480    0x01E0  The operation timed out waiting for this device to complete a PnP query-remove request due to a potential hang in its device stack. The system may need to be rebooted to complete the request.
481    0x01E1  The operation timed out waiting for this device to complete a PnP query-remove request due to a potential hang in the device stack of a related device. The system may need to be rebooted to complete the operation.
482    0x01E2  The operation timed out waiting for this device to complete a PnP query-remove request due to a potential hang in the device stack of an unrelated device. The system may need to be rebooted to complete the operation.
483    0x01E3  The request failed due to a fatal device hardware error.
487    0x01E7  Attempt to access invalid address.
488    0x01E8  The volume contains paging, crash dump or other system critical files.
500    0x01F4  User profile cannot be loaded.
510    0x01FE  The file system encountered a metadata file with inconsistent data.
534    0x0216  Arithmetic result exceeded 32 bits.
535    0x0217  There is a process on other end of the pipe.
536    0x0218  Waiting for a process to open the other end of the pipe.
537    0x0219  Application verifier has found an error in the current process.
538    0x021A  An error occurred in the ABIOS subsystem.
539    0x021B  A warning occurred in the WX86 subsystem.
540    0x021C  An error occurred in the WX86 subsystem.
541    0x021D  An attempt was made to cancel or set a timer that has an associated APC and the subject thread is not the thread that originally set the timer with an associated APC routine.
542    0x021E  Unwind exception code.
543    0x021F  An invalid or unaligned stack was encountered during an unwind operation.
544    0x0220  An invalid unwind target was encountered during an unwind operation.
545    0x0221  Invalid Object Attributes specified to NtCreatePort or invalid Port Attributes specified to NtConnectPort
546    0x0222  Length of message passed to NtRequestPort or NtRequestWaitReplyPort was longer than the maximum message allowed by the port.
547    0x0223  An attempt was made to lower a quota limit below the current usage.
548    0x0224  An attempt was made to attach to a device that was already attached to another device.
549    0x0225  An attempt was made to execute an instruction at an unaligned address and the host system does not support unaligned instruction references.
550    0x0226  Profiling not started.
551    0x0227  Profiling not stopped.
552    0x0228  The passed ACL did not contain the minimum required information.
553    0x0229  The number of active profiling objects is at the maximum and no more may be started.
554    0x022A  Used to indicate that an operation cannot continue without blocking for I/O.
555    0x022B  Indicates that a thread attempted to terminate itself by default (called NtTerminateThread with NULL) and it was the last thread in the current process.
556    0x022C  If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter.  In this case information is lost, however, the filter correctly handles the exception.
557    0x022D  If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter.  In this case information is lost, however, the filter correctly handles the exception.
558    0x022E  If an MM error is returned which is not defined in the standard FsRtl filter, it is converted to one of the following errors which is guaranteed to be in the filter.  In this case information is lost, however, the filter correctly handles the exception.
559    0x022F  A malformed function table was encountered during an unwind operation.
560    0x0230  Indicates that an attempt was made to assign protection to a file system file or directory and one of the SIDs in the security descriptor could not be translated into a GUID that could be stored by the file system.  This causes the protection attempt to fail, which may cause a file creation attempt to fail.
561    0x0231  Indicates that an attempt was made to grow an LDT by setting its size, or that the size was not an even number of selectors.
563    0x0233  Indicates that the starting value for the LDT information was not an integral multiple of the selector size.
564    0x0234  Indicates that the user supplied an invalid descriptor when trying to set up Ldt descriptors.
565    0x0235  Indicates a process has too many threads to perform the requested action. For example, assignment of a primary token may only be performed when a process has zero or one threads.
566    0x0236  An attempt was made to operate on a thread within a specific process, but the thread specified is not in the process specified.
567    0x0237  Page file quota was exceeded.
568    0x0238  The Netlogon service cannot start because another Netlogon service running in the domain conflicts with the specified role.
569    0x0239  The SAM database on a Windows Server is significantly out of synchronization with the copy on the Domain Controller. A complete synchronization is required.
570    0x023A  The NtCreateFile API failed. This error should never be returned to an application, it is a place holder for the Windows Lan Manager Redirector to use in its internal error mapping routines.
571    0x023B  {Privilege Failed}  The I/O permissions for the process could not be changed.
572    0x023C  {Application Exit by CTRL+C}  The application terminated as a result of a CTRL+C.
573    0x023D  {Missing System File}  The required system file hs is bad or missing.
574    0x023E  {Application Error}  The exception s (0x
575    0x023F  {Application Error}  The application was unable to start correctly (0xlx). Click OK to close the application.
576    0x0240  {Unable to Create Paging File}  The creation of the paging file hs failed (lx). The requested size was ld.
577    0x0241  Windows cannot verify the digital signature for this file. A recent hardware or software change might have installed a file that is signed incorrectly or damaged, or that might be malicious software from an unknown source.
578    0x0242  {No Paging File Specified}  No paging file was specified in the system configuration.
579    0x0243  {EXCEPTION}  A real-mode application issued a floating-point instruction and floating-point hardware is not present.
580    0x0244  An event pair synchronization operation was performed using the thread specific client/server event pair object, but no event pair object was associated with the thread.
581    0x0245  A Windows Server has an incorrect configuration.
582    0x0246  An illegal character was encountered. For a multi-byte character set this includes a lead byte without a succeeding trail byte. For the Unicode character set this includes the characters 0xFFFF and 0xFFFE.
583    0x0247  The Unicode character is not defined in the Unicode character set installed on the system.
584    0x0248  The paging file cannot be created on a floppy diskette.
585    0x0249  The system BIOS failed to connect a system interrupt to the device or bus for which the device is connected.
586    0x024A  This operation is only allowed for the Primary Domain Controller of the domain.
587    0x024B  An attempt was made to acquire a mutant such that its maximum count would have been exceeded.
588    0x024C  A volume has been accessed for which a file system driver is required that has not yet been loaded.
589    0x024D  {Registry File Failure}  The registry cannot load the hive (file):  hs  or its log or alternate.  It is corrupt, absent, or not writable.
590    0x024E  {Unexpected Failure in DebugActiveProcess}  An unexpected failure occurred while processing a DebugActiveProcess API request. You may choose OK to terminate the process, or Cancel to ignore the error.
591    0x024F  {Fatal System Error}  The hs system process terminated unexpectedly with a status of 0x
592    0x0250  {Data Not Accepted}  The TDI client could not handle the data received during an indication.
593    0x0251  NTVDM encountered a hard error.
594    0x0252  {Cancel Timeout}  The driver hs failed to complete a cancelled I/O request in the allotted time.
595    0x0253  {Reply Message Mismatch}  An attempt was made to reply to an LPC message, but the thread specified by the client ID in the message was not waiting on that message.
596    0x0254  {Delayed Write Failed}  Windows was unable to save all the data for the file hs. The data has been lost.  This error may be caused by a failure of your computer hardware or network connection. Please try to save this file elsewhere.
597    0x0255  The parameter(s) passed to the server in the client/server shared memory window were invalid. Too much data may have been put in the shared memory window.
598    0x0256  The stream is not a tiny stream.
599    0x0257  The request must be handled by the stack overflow code.
600    0x0258  Internal OFS status codes indicating how an allocation operation is handled. Either it is retried after the containing onode is moved or the extent stream is converted to a large stream.
601    0x0259  The attempt to find the object found an object matching by ID on the volume but it is out of the scope of the handle used for the operation.
602    0x025A  The bucket array must be grown. Retry transaction after doing so.
603    0x025B  The user/kernel marshalling buffer has overflowed.
604    0x025C  The supplied variant structure contains invalid data.
605    0x025D  The specified buffer contains ill-formed data.
606    0x025E  {Audit Failed}  An attempt to generate a security audit failed.
607    0x025F  The timer resolution was not previously set by the current process.
608    0x0260  There is insufficient account information to log you on.
609    0x0261  {Invalid DLL Entrypoint}  The dynamic link library hs is not written correctly. The stack pointer has been left in an inconsistent state.  The entrypoint should be declared as WINAPI or STDCALL. Select YES to fail the DLL load. Select NO to continue execution. Selecting NO may cause the application to operate incorrectly.
610    0x0262  {Invalid Service Callback Entrypoint}  The hs service is not written correctly. The stack pointer has been left in an inconsistent state.  The callback entrypoint should be declared as WINAPI or STDCALL. Selecting OK will cause the service to continue operation. However, the service process may operate incorrectly.
611    0x0263  There is an IP address conflict with another system on the network
612    0x0264  There is an IP address conflict with another system on the network
613    0x0265  {Low On Registry Space}  The system has reached the maximum size allowed for the system part of the registry. Additional storage requests will be ignored.
614    0x0266  A callback return system service cannot be executed when no callback is active.
615    0x0267  The password provided is too short to meet the policy of your user account.  Please choose a longer password.
616    0x0268  The policy of your user account does not allow you to change passwords too frequently.  This is done to prevent users from changing back to a familiar, but potentially discovered, password.  If you feel your password has been compromised then please contact your administrator immediately to have a new one assigned.
617    0x0269  You have attempted to change your password to one that you have used in the past.  The policy of your user account does not allow this. Please select a password that you have not previously used.
618    0x026A  The specified compression format is unsupported.
619    0x026B  The specified hardware profile configuration is invalid.
620    0x026C  The specified Plug and Play registry device path is invalid.
621    0x026D  The specified quota list is internally inconsistent with its descriptor.
622    0x026E  {Windows Evaluation Notification}  The evaluation period for this installation of Windows has expired. This system will shutdown in 1 hour. To restore access to this installation of Windows, please upgrade this installation using a licensed distribution of this product.
623    0x026F  {Illegal System DLL Relocation}  The system DLL hs was relocated in memory. The application will not run properly.  The relocation occurred because the DLL hs occupied an address range reserved for Windows system DLLs. The vendor supplying the DLL should be contacted for a new DLL.
624    0x0270  {DLL Initialization Failed}  The application failed to initialize because the window station is shutting down.
625    0x0271  The validation process needs to continue on to the next step.
626    0x0272  There are no more matches for the current index enumeration.
627    0x0273  The range could not be added to the range list because of a conflict.
628    0x0274  The server process is running under a SID different than that required by client.
629    0x0275  A group marked use for deny only cannot be enabled.
630    0x0276  {EXCEPTION}  Multiple floating point faults.
631    0x0277  {EXCEPTION}  Multiple floating point traps.
632    0x0278  The requested interface is not supported.
633    0x0279  {System Standby Failed}  The driver hs does not support standby mode. Updating this driver may allow the system to go to standby mode.
635    0x027B  {Virtual Memory Minimum Too Low}  Your system is low on virtual memory. Windows is increasing the size of your virtual memory paging file.  During this process, memory requests for some applications may be denied. For more information, see Help.
636    0x027C  A device was removed so enumeration must be restarted.
637    0x027D  {Fatal System Error}  The system image s is not properly signed.  The file has been replaced with the signed file.  The system has been shut down.
638    0x027E  Device will not start without a reboot.
639    0x027F  There is not enough power to complete the requested operation.
640    0x0280  ERROR_MULTIPLE_FAULT_VIOLATION
641    0x0281  The system is in the process of shutting down.
642    0x0282  An attempt to remove a processes DebugPort was made, but a port was not already associated with the process.
643    0x0283  This version of Windows is not compatible with the behavior version of directory forest, domain or domain controller.
644    0x0284  The specified range could not be found in the range list.
646    0x0286  The driver was not loaded because the system is booting into safe mode.
647    0x0287  The driver was not loaded because it failed its initialization call.
648    0x0288  The "hs" encountered an error while applying power or reading the device configuration.  This may be caused by a failure of your hardware or by a poor connection.
649    0x0289  The create operation failed because the name contained at least one mount point which resolves to a volume to which the specified device object is not attached.
650    0x028A  The device object parameter is either not a valid device object or is not attached to the volume specified by the file name.
651    0x028B  A Machine Check Error has occurred. Please check the system eventlog for additional information.
653    0x028D  System hive size has exceeded its limit.
654    0x028E  The driver could not be loaded because a previous version of the driver is still in memory.
655    0x028F  {Volume Shadow Copy Service}  Please wait while the Volume Shadow Copy Service prepares volume hs for hibernation.
656    0x0290  The system has failed to hibernate (The error code is hs). Hibernation will be disabled until the system is restarted.
657    0x0291  The password provided is too long to meet the policy of your user account.  Please choose a shorter password.
665    0x0299  The requested operation could not be completed due to a file system limitation
668    0x029C  An assertion failure has occurred.
669    0x029D  An error occurred in the ACPI subsystem.
670    0x029E  WOW Assertion Error.
671    0x029F  A device is missing in the system BIOS MPS table. This device will not be used.  Please contact your system vendor for system BIOS update.
672    0x02A0  A translator failed to translate resources.
